num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2025S000088;01/01/2025;17:10:00;CALL. OCA / CALL. GENERAL RICARDOS;2;11;CARABANCHEL;Otro;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;437920;4471163;N;
2025S000097;01/01/2025;19:45:00;CALL. GENEROSIDAD / CALL. VILLAFUERTE;22;17;VILLAVERDE;Caída;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441441;4467570;N;
2025S000202;02/01/2025;9:30:00;AVDA. ALBUFERA / CALL. SIERRA DE JAVALAMBRE;11;13;PUENTE DE VALLECAS;Alcance;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;443329;4472101;N;
2025S000814;04/01/2025;13:20:00;AVDA. ANGEL SANZ BRIZ, 4;4;10;LATINA;Atropello a persona;Nublado;Bicicleta;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;437600;4472467;N;
2025S000814;04/01/2025;13:20:00;AVDA. ANGEL SANZ BRIZ, 4;4;10;LATINA;Atropello a persona;Nublado;Bicicleta;Peatón;De 65 a 69 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;437600;4472467;N;
2025S000841;04/01/2025;21:20:00;CALL. ELOY GONZALO, 22;22;7;CHAMBERÍ;Colisión lateral;;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440524;4476199;N;
2025S000923;05/01/2025;3:40:00;CALL. RIBERA DE CURTIDORES, 10;10;1;CENTRO;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;439982;4473352;N;
2025S000935;05/01/2025;4:19:00;CALL. RAFAELA BONILLA, 10;10;4;SALAMANCA;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;1;Atención en urgencias sin posterior ingreso;443384;4476199;N;
2025S001186;05/01/2025;15:57:00;CALL. JUAN BRAVO / CALL. CLAUDIO COELLO;3;4;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 18 a 20 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;441852;4476045;N;
2025S001214;05/01/2025;20:10:00;CALL. ATOCHA, 31;31;1;CENTRO;Caída;Lluvia débil;Bicicleta;Conductor;De 35 a 39 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440406;4473917;N;
2025S001453;06/01/2025;15:10:00;PASEO. CASTELLANA, 74;74;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441436;4476687;N;
2025S001948;08/01/2025;14:25:00;CALL. EMBAJADORES / AVDA. SANTA CATALINA-ENTREVIAS;458;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;442526;4468994;N;
2025S002056;08/01/2025;21:20:00;PASEO. MELANCOLICOS, 77;77;2;ARGANZUELA;Caída;Lluvia débil;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;439127;4472569;N;
2025S002165;09/01/2025;9:25:00;CALL. PEDRO BOSCH / AVDA. CIUDAD DE BARCELONA;0;2;ARGANZUELA;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Mujer;1;Atención en urgencias sin posterior ingreso;442719;4472464;N;
2025S002166;09/01/2025;8:10:00;CALL. ALMADEN, 26;26;1;CENTRO;Caída;Nublado;Bicicleta;Conductor;De 15 a 17 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;441158;4473600;N;
2025S002792;10/01/2025;13:37:00;CALL. GOYA, 76;76;4;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442771;4475117;N;
2025S002847;10/01/2025;17:35:00;CALL. EMBAJADORES, 274;274;2;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 6 a 9 años;Hombre;1;Atención en urgencias sin posterior ingreso;441490;4470800;N;
2025S003185;11/01/2025;11:35:00;CALL. ARROYO DEL OLIVAR / CALL. ALCALDE ALFONSO VAZQUEZ;16;13;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;2;Ingreso inferior o igual a 24 horas;443613;4471630;N;
2025S003194;11/01/2025;10:00:00;CALL. RIBERA DEL MANZANARES, 159;159;9;MONCLOA-ARAVACA;Colisión frontal;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;;;437602;4476026;N;
2025S003194;11/01/2025;10:00:00;CALL. RIBERA DEL MANZANARES, 159;159;9;MONCLOA-ARAVACA;Colisión frontal;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;;;437602;4476026;N;
2025S003432;11/01/2025;13:00:00;CALL. BUEN GOBERNADOR, 8;8;15;CIUDAD LINEAL;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444491;4476036;N;
2025S003439;12/01/2025;11:15:00;CALL. MIGUEL MOYA, 2;2;1;CENTRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;Desconocido;Desconocido;;;440134;4474674;N;
2025S003460;12/01/2025;12:30:00;AVDA. LOS ROSALES, 42;42;17;VILLAVERDE;Caída;Nublado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442097;4467986;N;
2025S003460;12/01/2025;12:30:00;AVDA. LOS ROSALES, 42;42;17;VILLAVERDE;Caída;Nublado;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;442097;4467986;N;
2025S003700;12/01/2025;11:20:00;CALL. VIA DE DUBLIN, 14;14;21;BARAJAS;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;448097;4480013;N;
2025S004141;14/01/2025;14:35:00;PASEO. CASTELLANA / AVDA. MONFORTE DE LEMOS;278;5;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;De 40 a 44 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441773;4480716;N;
2025S004236;14/01/2025;15:50:00;AVDA. POBLADOS, 41;41;10;LATINA;Caída;Despejado;Bicicleta;Conductor;De 70 a 74 años;Hombre;1;Atención en urgencias sin posterior ingreso;435429;4470747;N;
